interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,10,S61,0,switch,1,51647,21,0,0,1,227.172,0,0,100,0
1,stage_arrival,51,S48,0,switch,57,51645,103,0,0,1,201.033,0,0,100,0
1,stage_arrival,61,S46,1,switch,57,51652,122,0,0,1,199.213,0,0,100,0
1,stage_arrival,43,S22,0,switch,0,51651,87,0,0,1,203.304,0,0,100,0
1,stage_arrival,7,S45,2,switch,61,51653,15,0,0,1,100.666,0,0,100,0
1,stage_arrival,48,S50,3,switch,10,51641,96,0,0,1,118.54,0,0,100,0
1,stage_arrival,60,S44,0,switch,18,51655,120,0,0,1,203.923,0,0,100,0
1,stage_arrival,6,S02,0,switch,1,51649,12,0,0,1,138.732,0,0,100,0
1,stage_arrival,10,S61,0,switch,1,51650,20,0,0,1,227.172,0,0,100,0
1,stage_arrival,62,S56,1,switch,34,51648,125,0,0,1,238.377,0,0,100,0
1,stage_arrival,52,S30,2,switch,54,51654,104,0,0,1,164.752,0,0,100,0
1,stage_arrival,17,S35,1,switch,56,51640,34,0,0,1,252.252,0,0,100,0
1,stage_arrival,14,S58,4,switch,5,51644,28,0,0,1,193.819,0,0,100,0
1,stage_arrival,17,S35,1,switch,56,51643,35,0,0,1,252.252,0,0,100,0
1,stage_arrival,28,S12,1,switch,29,51646,57,0,0,1,167.904,0,0,100,0
1,stage_arrival,3,S27,0,switch,0,51642,6,0,0,1,119.129,0,0,100,0
1,allocate_send_arrival,14,S58,4,switch,5,51644,28,0,0,1,193.819,0,100,0,0
1,allocate_send_arrival,61,S46,1,switch,57,51652,122,0,0,1,199.213,0,100,0,0
1,allocate_send_arrival,52,S30,2,switch,54,51654,104,0,0,1,164.752,0,100,0,0
1,allocate_send_arrival,51,S48,0,switch,57,51645,103,0,0,1,201.033,0,100,0,0
1,allocate_send_arrival,7,S45,2,switch,61,51653,15,0,0,1,100.666,0,100,0,0
1,allocate_send_arrival,48,S50,3,switch,10,51641,96,0,0,1,118.54,0,100,0,0
1,allocate_send_arrival,3,S27,0,switch,0,51642,6,0,0,1,119.129,0,100,0,0
1,allocate_send_arrival,10,S61,0,switch,1,51647,21,0,0,1,227.172,0,100,0,0
1,allocate_send_arrival,10,S61,0,switch,1,51650,20,0,0,1,227.172,0,100,0,0
1,allocate_send_arrival,62,S56,1,switch,34,51648,125,0,0,1,238.377,0,100,0,0
1,allocate_send_arrival,60,S44,0,switch,18,51655,120,0,0,1,203.923,0,100,0,0
1,allocate_send_arrival,28,S12,1,switch,29,51646,57,0,0,1,167.904,0,100,0,0
1,allocate_send_arrival,6,S02,0,switch,1,51649,12,0,0,1,138.732,0,100,0,0
1,allocate_send_arrival,43,S22,0,switch,0,51651,87,0,0,1,203.304,0,100,0,0
1,allocate_send_arrival,17,S35,1,switch,56,51640,34,0,0,1,252.252,0,100,0,0
1,allocate_send_arrival,17,S35,1,switch,56,51643,35,0,0,1,252.252,0,100,0,0
2,stage_arrival,0,S00,5,terminal,0,51642,6,0,0,2,1000,0,0,100,0
2,stage_arrival,48,S50,3,switch,10,51641,96,0,0,2,118.54,0,0,100,0
2,stage_arrival,51,S48,0,switch,57,51645,103,0,0,2,201.033,0,0,100,0
2,stage_arrival,56,S36,2,switch,4,51643,35,0,0,2,112.305,0,0,100,0
2,stage_arrival,1,S01,0,switch,0,51649,12,0,0,2,159.728,0,0,100,0
2,stage_arrival,29,S13,5,switch,31,51646,57,0,0,2,131.191,0,0,100,0
2,stage_arrival,17,S35,1,switch,56,51643,35,0,0,2,252.252,0,0,100,0
