interval,event,switch,switch_name,port,target_type,target_index,capacity_gbit,queued_before_gbit,sent_gbit,queued_after_gbit,shared_queued_before_gbit,shared_queued_after_gbit,shared_buffer_gbit,dropped_gbit,active_queue_entries
1,egress,17,S35,1,switch,56,252.252,0,83.7055,0,0,0,100,0,0
1,egress,6,S02,0,switch,1,138.732,0,40.7961,0,0,0,100,0,0
1,egress,52,S30,2,switch,54,164.752,0,63.5354,0,0,0,100,0,0
1,egress,61,S46,1,switch,57,199.213,0,42.0446,0,0,0,100,0,0
1,egress,28,S12,1,switch,29,167.904,0,63.8143,0,0,0,100,0,0
1,egress,10,S61,0,switch,1,227.172,0,81.5921,0,0,0,100,0,0
1,egress,14,S58,4,switch,5,193.819,0,63.3527,0,0,0,100,0,0
1,egress,7,S45,2,switch,61,100.666,0,42.2365,0,0,0,100,0,0
1,egress,48,S50,3,switch,10,118.54,0,40.9881,0,0,0,100,0,0
1,egress,51,S48,0,switch,57,201.033,0,42.0446,0,0,0,100,0,0
1,egress,43,S22,0,switch,0,203.304,0,63.0816,0,0,0,100,0,0
1,egress,60,S44,0,switch,18,203.923,0,61.1632,0,0,0,100,0,0
1,egress,3,S27,0,switch,0,119.129,0,60.1431,0,0,0,100,0,0
1,egress,62,S56,1,switch,34,238.377,0,63.7214,0,0,0,100,0,0
2,egress,5,S63,0,switch,0,259.679,0,63.3527,0,0,0,100,0,0
2,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
2,egress,14,S58,4,switch,5,193.819,0,62.5,0,0,0,100,0,0
2,egress,62,S56,1,switch,34,238.377,0,62.5,0,0,0,100,0,0
2,egress,29,S13,5,switch,31,131.191,0,63.8143,0,0,0,100,0,0
2,egress,0,S00,5,terminal,0,1000,0,123.225,0,0,0,100,0,0
2,egress,56,S36,2,switch,4,112.305,0,83.7055,0,0,0,100,0,0
2,egress,57,S47,1,switch,50,259.289,0,84.0892,0,0,0,100,0,0
2,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
2,egress,28,S12,1,switch,29,167.904,0,62.5,0,0,0,100,0,0
2,egress,17,S35,1,switch,56,252.252,0,81.4032,0,0,0,100,0,0
2,egress,1,S01,0,switch,0,159.728,0,122.388,0,0,0,100,0,0
2,egress,60,S44,0,switch,18,203.923,0,59.5645,0,0,0,100,0,0
2,egress,51,S48,0,switch,57,201.033,0,40.7016,0,0,0,100,0,0
2,egress,3,S27,0,switch,0,119.129,0,59.5645,0,0,0,100,0,0
2,egress,43,S22,0,switch,0,203.304,0,62.5,0,0,0,100,0,0
2,egress,18,S43,0,switch,38,157.659,0,61.1632,0,0,0,100,0,0
2,egress,54,S31,1,switch,37,242.335,0,63.5354,0,0,0,100,0,0
2,egress,34,S57,2,switch,14,113.541,0,63.7214,0,0,0,100,0,0
2,egress,61,S46,1,switch,57,199.213,0,82.9381,0,0,0,100,0,0
2,egress,7,S45,2,switch,61,100.666,0,40.7016,0,0,0,100,0,0
2,egress,52,S30,2,switch,54,164.752,0,62.5,0,0,0,100,0,0
2,egress,10,S61,0,switch,1,227.172,0,120.852,0,0,0,100,0,0
3,egress,34,S57,2,switch,14,113.541,0,62.5,0,0,0,100,0,0
3,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
3,egress,4,S37,0,switch,0,203.508,0,83.7055,0,0,0,100,0,0
3,egress,7,S45,2,switch,61,100.666,0,40.7016,0,0,0,100,0,0
3,egress,28,S12,1,switch,29,167.904,0,62.5,0,0,0,100,0,0
3,egress,60,S44,0,switch,18,203.923,0,59.5645,0,0,0,100,0,0
3,egress,50,S38,2,switch,4,290.506,0,84.0892,0,0,0,100,0,0
3,egress,61,S46,1,switch,57,199.213,0,81.4032,0,0,0,100,0,0
3,egress,51,S48,0,switch,57,201.033,0,40.7016,0,0,0,100,0,0
3,egress,57,S47,1,switch,50,259.289,0,123.64,0,0,0,100,0,0
3,egress,17,S35,1,switch,56,252.252,0,81.4032,0,0,0,100,0,0
3,egress,14,S58,4,switch,5,193.819,0,126.221,0,0,0,100,0,0
3,egress,38,S42,0,switch,42,176.64,0,61.1632,0,0,0,100,0,0
3,egress,62,S56,1,switch,34,238.377,0,62.5,0,0,0,100,0,0
3,egress,18,S43,0,switch,38,157.659,0,59.5645,0,0,0,100,0,0
3,egress,0,S00,5,terminal,0,1000,0,307.805,0,0,0,100,0,0
3,egress,1,S01,0,switch,0,159.728,0,159.728,1.05607,0,1.05607,100,0,1
3,egress,37,S32,0,switch,0,103.31,0,63.5354,0,0,0,100,0,0
3,egress,10,S61,0,switch,1,227.172,0,119.796,0,0,0,100,0,0
3,egress,56,S36,2,switch,4,112.305,0,81.4032,0,0,0,100,0,0
3,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
3,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
3,egress,54,S31,1,switch,37,242.335,0,62.5,0,0,0,100,0,0
3,egress,43,S22,0,switch,0,203.304,0,62.5,0,0,0,100,0,0
3,egress,52,S30,2,switch,54,164.752,0,62.5,0,0,0,100,0,0
3,egress,3,S27,0,switch,0,119.129,0,59.5645,0,0,0,100,0,0
3,egress,31,S62,3,switch,5,238.676,0,63.8143,0,0,0,100,0,0
3,egress,5,S63,0,switch,0,259.679,0,62.5,0,0,0,100,0,0
4,egress,1,S01,0,switch,0,159.728,1.05607,1.05607,0,1.05607,0,100,0,0
4,egress,7,S45,2,switch,61,100.666,0,40.7016,0,0,0,100,0,0
4,egress,17,S35,1,switch,56,252.252,0,81.4032,0,0,0,100,0,0
4,egress,61,S46,1,switch,57,199.213,0,81.4032,0,0,0,100,0,0
4,egress,34,S57,2,switch,14,113.541,0,62.5,0,0,0,100,0,0
4,egress,31,S62,3,switch,5,238.676,0,62.5,0,0,0,100,0,0
4,egress,43,S22,0,switch,0,203.304,0,62.5,0,0,0,100,0,0
4,egress,0,S00,5,terminal,0,1000,0,491.533,0,0,0,100,0,0
4,egress,1,S01,0,switch,0,159.728,0,158.672,1.05607,0,1.05607,100,0,4
4,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
4,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
4,egress,14,S58,4,switch,5,193.819,0,125,0,0,0,100,0,0
4,egress,4,S37,0,switch,0,203.508,0,165.492,0,0,0,100,0,0
4,egress,52,S30,2,switch,54,164.752,0,62.5,0,0,0,100,0,0
4,egress,5,S63,0,switch,0,259.679,0,190.036,0,0,0,100,0,0
4,egress,28,S12,1,switch,29,167.904,0,62.5,0,0,0,100,0,0
4,egress,42,S20,2,switch,3,251.806,0,61.1632,0,0,0,100,0,0
4,egress,38,S42,0,switch,42,176.64,0,59.5645,0,0,0,100,0,0
4,egress,57,S47,1,switch,50,259.289,0,122.105,0,0,0,100,0,0
4,egress,10,S61,0,switch,1,227.172,0,119.796,0,0,0,100,0,0
4,egress,50,S38,2,switch,4,290.506,0,123.64,0,0,0,100,0,0
4,egress,3,S27,0,switch,0,119.129,0,59.5645,0,0,0,100,0,0
4,egress,56,S36,2,switch,4,112.305,0,81.4032,0,0,0,100,0,0
4,egress,18,S43,0,switch,38,157.659,0,59.5645,0,0,0,100,0,0
4,egress,51,S48,0,switch,57,201.033,0,40.7016,0,0,0,100,0,0
4,egress,54,S31,1,switch,37,242.335,0,62.5,0,0,0,100,0,0
4,egress,37,S32,0,switch,0,103.31,0,62.5,0,0,0,100,0,0
4,egress,60,S44,0,switch,18,203.923,0,59.5645,0,0,0,100,0,0
4,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
4,egress,62,S56,1,switch,34,238.377,0,62.5,0,0,0,100,0,0
5,egress,1,S01,0,switch,0,159.728,1.05607,1.05607,0,1.05607,0,100,0,0
5,egress,1,S01,0,switch,0,159.728,0,158.672,1.05607,0,1.05607,100,0,4
5,egress,56,S36,2,switch,4,112.305,0,81.4032,0,0,0,100,0,0
5,egress,43,S22,0,switch,0,203.304,0,62.5,0,0,0,100,0,0
5,egress,17,S35,1,switch,56,252.252,0,81.4032,0,0,0,100,0,0
5,egress,0,S00,5,terminal,0,1000,0,699.821,0,0,0,100,0,0
5,egress,57,S47,1,switch,50,259.289,0,122.105,0,0,0,100,0,0
5,egress,4,S37,0,switch,0,203.508,0,203.508,1.53488,0,1.53488,100,0,1
5,egress,18,S43,0,switch,38,157.659,0,59.5645,0,0,0,100,0,0
5,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
5,egress,5,S63,0,switch,0,259.679,0,187.5,0,0,0,100,0,0
5,egress,42,S20,2,switch,3,251.806,0,59.5645,0,0,0,100,0,0
5,egress,31,S62,3,switch,5,238.676,0,62.5,0,0,0,100,0,0
5,egress,7,S45,2,switch,61,100.666,0,40.7016,0,0,0,100,0,0
5,egress,3,S27,0,switch,0,119.129,0,119.129,1.59874,0,1.59874,100,0,1
5,egress,28,S12,1,switch,29,167.904,0,62.5,0,0,0,100,0,0
5,egress,52,S30,2,switch,54,164.752,0,62.5,0,0,0,100,0,0
5,egress,60,S44,0,switch,18,203.923,0,59.5645,0,0,0,100,0,0
5,egress,62,S56,1,switch,34,238.377,0,62.5,0,0,0,100,0,0
5,egress,51,S48,0,switch,57,201.033,0,40.7016,0,0,0,100,0,0
5,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
5,egress,38,S42,0,switch,42,176.64,0,59.5645,0,0,0,100,0,0
5,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
5,egress,61,S46,1,switch,57,199.213,0,81.4032,0,0,0,100,0,0
5,egress,10,S61,0,switch,1,227.172,0,119.796,0,0,0,100,0,0
5,egress,14,S58,4,switch,5,193.819,0,125,0,0,0,100,0,0
5,egress,34,S57,2,switch,14,113.541,0,62.5,0,0,0,100,0,0
5,egress,50,S38,2,switch,4,290.506,0,122.105,0,0,0,100,0,0
5,egress,54,S31,1,switch,37,242.335,0,62.5,0,0,0,100,0,0
5,egress,37,S32,0,switch,0,103.31,0,62.5,0,0,0,100,0,0
6,egress,1,S01,0,switch,0,159.728,1.05607,1.05607,0,1.05607,0,100,0,0
6,egress,4,S37,0,switch,0,203.508,1.53488,1.53488,0,1.53488,0,100,0,0
6,egress,3,S27,0,switch,0,119.129,1.59874,1.59874,0,1.59874,0,100,0,0
6,egress,28,S12,1,switch,29,167.904,0,62.5,0,0,0,100,0,0
6,egress,38,S42,0,switch,42,176.64,0,59.5645,0,0,0,100,0,0
6,egress,17,S35,1,switch,56,252.252,0,81.4032,0,0,0,100,0,0
6,egress,61,S46,1,switch,57,199.213,0,81.4032,0,0,0,100,0,0
6,egress,62,S56,1,switch,34,238.377,0,62.5,0,0,0,100,0,0
6,egress,10,S61,0,switch,1,227.172,0,119.796,0,0,0,100,0,0
6,egress,37,S32,0,switch,0,103.31,0,62.5,0,0,0,100,0,0
6,egress,14,S58,4,switch,5,193.819,0,125,0,0,0,100,0,0
6,egress,6,S02,0,switch,1,138.732,0,39.932,0,0,0,100,0,0
6,egress,0,S00,5,terminal,0,1000,0,794.865,0,0,0,100,0,0
6,egress,54,S31,1,switch,37,242.335,0,62.5,0,0,0,100,0,0
6,egress,43,S22,0,switch,0,203.304,0,62.5,0,0,0,100,0,0
6,egress,56,S36,2,switch,4,112.305,0,81.4032,0,0,0,100,0,0
6,egress,4,S37,0,switch,0,203.508,0,201.973,1.53488,0,1.53488,100,0,5
6,egress,51,S48,0,switch,57,201.033,0,40.7016,0,0,0,100,0,0
6,egress,18,S43,0,switch,38,157.659,0,59.5645,0,0,0,100,0,0
6,egress,48,S50,3,switch,10,118.54,0,39.932,0,0,0,100,0,0
6,egress,1,S01,0,switch,0,159.728,0,158.672,1.05607,0,1.05607,100,0,4
6,egress,50,S38,2,switch,4,290.506,0,122.105,0,0,0,100,0,0
6,egress,29,S13,5,switch,31,131.191,0,62.5,0,0,0,100,0,0
6,egress,34,S57,2,switch,14,113.541,0,62.5,0,0,0,100,0,0
6,egress,3,S27,0,switch,0,119.129,0,117.53,1.59874,0,1.59874,100,0,2
6,egress,60,S44,0,switch,18,203.923,0,59.5645,0,0,0,100,0,0
6,egress,52,S30,2,switch,54,164.752,0,62.5,0,0,0,100,0,0
6,egress,57,S47,1,switch,50,259.289,0,122.105,0,0,0,100,0,0
6,egress,7,S45,2,switch,61,100.666,0,40.7016,0,0,0,100,0,0
6,egress,31,S62,3,switch,5,238.676,0,62.5,0,0,0,100,0,0
6,egress,5,S63,0,switch,0,259.679,0,187.5,0,0,0,100,0,0
