interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
1,stage_arrival,15,S05,0,switch,12,8725724278030336,31,9,0,1,134.869,0,0,278.543,0
1,stage_arrival,14,S58,0,switch,11,8162774324609024,29,31,0,1,169.38,0,0,306.505,0
1,stage_arrival,51,S48,0,switch,57,28710447624486912,102,115,0,1,201.033,0,0,337.651,0
1,stage_arrival,28,S12,2,switch,20,16044073672507392,57,126,0,1,296.117,0,0,230.87,0
1,stage_arrival,38,S42,1,switch,40,21392098230009856,76,51,0,1,122.733,0,0,306.071,0
1,stage_arrival,29,S13,5,switch,31,16607023625928704,59,11,0,1,131.191,0,0,323.956,0
1,stage_arrival,60,S44,0,switch,18,34058472181989376,121,91,0,1,203.923,0,0,260.625,0
1,stage_arrival,40,S29,0,switch,36,22517998136852480,80,114,0,1,264.754,0,0,327.652,0
1,stage_arrival,18,S43,0,switch,38,10133099161583616,36,32,0,1,157.659,0,0,225.949,0
1,stage_arrival,37,S32,0,switch,0,21110623253299200,75,47,0,1,103.31,0,0,326.198,0
1,stage_arrival,56,S36,3,switch,23,31525197391593472,112,22,0,1,284.309,0,0,367.657,0
1,stage_arrival,8,S52,0,switch,1,4503599627370496,16,6,0,1,255.562,0,0,337.905,0
1,stage_arrival,46,S24,1,switch,44,26177172834091008,93,10,0,1,217.722,0,0,381.762,0
1,stage_arrival,17,S35,1,switch,56,9570149208162304,34,2,0,1,252.252,0,0,281.053,0
1,stage_arrival,19,S06,1,switch,22,10977524091715584,39,15,0,1,210.644,0,0,308.386,0
1,stage_arrival,39,S19,0,switch,36,22236523160141824,79,121,0,1,204.72,0,0,206.426,0
1,stage_arrival,43,S22,0,switch,0,24206847997116416,86,112,0,1,203.304,0,0,246.894,0
1,stage_arrival,41,S49,0,switch,11,23362423066984448,83,3,0,1,188.868,0,0,259.612,0
1,stage_arrival,36,S18,1,switch,39,20547673299877888,73,65,0,1,215.617,0,0,388.545,0
1,stage_arrival,13,S40,1,switch,52,7599824371187712,27,106,0,1,151.023,0,0,269.709,0
1,stage_arrival,50,S38,0,switch,25,28428972647776256,101,52,0,1,175.944,0,0,200.08,0
1,stage_arrival,34,S57,2,switch,14,19421773393035264,69,28,0,1,113.541,0,0,208.416,0
1,stage_arrival,31,S62,0,switch,29,17732923532771328,63,72,0,1,171.288,0,0,314.583,0
1,stage_arrival,12,S04,2,switch,15,6755399441055744,24,39,0,1,124.853,0,0,211.792,0
1,stage_arrival,31,S62,2,switch,10,17451448556060672,62,83,0,1,234.199,0,0,339.771,0
1,stage_arrival,52,S30,1,switch,40,29554872554618880,105,43,0,1,109.864,0,0,315.208,0
1,stage_arrival,45,S28,3,switch,3,25614222880669696,91,53,0,1,145.823,0,0,339.651,0
1,stage_arrival,63,S54,1,switch,21,35747322042253312,127,3,0,1,203.653,0,0,378.525,0
1,stage_arrival,59,S41,1,switch,38,33214047251857408,118,11,0,1,116.009,0,0,214.044,0
1,stage_arrival,32,S21,1,switch,43,18014398509481984,64,101,0,1,261.425,0,0,285.612,0
1,stage_arrival,21,S53,0,switch,15,12103423998558208,43,39,0,1,263.511,0,0,317.215,0
1,stage_arrival,10,S61,0,switch,1,5910974510923776,21,0,0,1,227.172,0,0,347.004,0
1,stage_arrival,19,S06,3,switch,10,10696049115004928,38,63,0,1,169.014,0,0,234.26,0
1,stage_arrival,44,S23,0,switch,43,24769797950537728,88,119,0,1,211.017,0,0,257.539,0
1,stage_arrival,48,S50,2,switch,58,27021597764222976,96,57,0,1,290.959,0,0,388.916,0
1,stage_arrival,53,S55,1,switch,40,30117822508040192,107,99,0,1,298.054,0,0,245.893,0
1,stage_arrival,10,S61,7,terminal,21,5629499534213120,20,21,0,1,1000,0,0,390.45,0
1,stage_arrival,48,S50,1,switch,41,27303072740933632,97,71,0,1,183.344,0,0,258.245,0
1,stage_arrival,57,S47,2,switch,61,32369622321725440,115,14,0,1,259.693,0,0,220.863,0
1,stage_arrival,43,S22,3,switch,44,24488322973827072,87,92,0,1,274.638,0,0,256.355,0
1,stage_arrival,9,S59,0,switch,1,5066549580791808,18,62,0,1,295.318,0,0,267.951,0
1,stage_arrival,30,S14,1,switch,20,17169973579350016,61,6,0,1,100.691,0,0,346.122,0
1,stage_arrival,13,S40,0,switch,6,7318349394477056,26,121,0,1,162.644,0,0,296.817,0
1,stage_arrival,27,S09,0,switch,24,15481123719086080,55,79,0,1,129.629,0,0,283.073,0
1,stage_arrival,52,S30,0,switch,28,29273397577908224,104,30,0,1,196.927,0,0,231.479,0
1,stage_arrival,33,S34,0,switch,26,18577348462903296,66,40,0,1,235.741,0,0,280.232,0
1,stage_arrival,58,S51,2,switch,48,32651097298436096,116,93,0,1,275.695,0,0,394.612,0
1,stage_arrival,7,S45,0,switch,27,4222124650659840,15,56,0,1,292,0,0,281.374,0
1,stage_arrival,58,S51,1,switch,23,32932572275146752,117,34,0,1,189.834,0,0,347.159,0
1,stage_arrival,57,S47,2,switch,61,32088147345014784,114,54,0,1,259.693,0,0,325.83,0
1,stage_arrival,53,S55,0,switch,15,29836347531329536,106,12,0,1,170.836,0,0,244.631,0
1,stage_arrival,4,S37,0,switch,0,2533274790395904,9,57,0,1,203.508,0,0,345.57,0
1,stage_arrival,28,S12,0,switch,16,15762598695796736,56,120,0,1,293.496,0,0,276.893,0
1,stage_arrival,20,S15,3,switch,25,11258999068426240,40,73,0,1,274.153,0,0,290.144,0
1,stage_arrival,1,S01,1,switch,6,844424930131968,3,104,0,1,265.041,0,0,390.035,0
1,stage_arrival,24,S08,1,switch,27,13510798882111488,48,36,0,1,295.728,0,0,366.404,0
1,stage_arrival,42,S20,3,switch,14,23925373020405760,85,11,0,1,182.917,0,0,300.157,0
1,stage_arrival,62,S56,1,switch,34,34902897112121344,124,9,0,1,238.377,0,0,282.598,0
1,stage_arrival,20,S15,3,switch,25,11540474045136896,41,83,0,1,274.153,0,0,236.524,0
1,stage_arrival,22,S07,3,switch,26,12384898975268864,44,14,0,1,124.406,0,0,201.413,0
1,stage_arrival,59,S41,0,switch,13,33495522228568064,119,22,0,1,132.99,0,0,212.149,0
1,stage_arrival,41,S49,5,switch,48,23080948090273792,82,16,0,1,181.228,0,0,219.385,0
1,stage_arrival,2,S10,0,switch,27,1125899906842624,4,90,0,1,137.994,0,0,389.905,0
1,stage_arrival,22,S07,0,switch,19,12666373951979520,45,78,0,1,118.259,0,0,241.134,0
1,stage_arrival,26,S33,2,switch,33,14918173765664768,53,47,0,1,257.766,0,0,371.758,0
1,stage_arrival,1,S01,0,switch,0,562949953421312,2,7,0,1,159.728,0,0,214.343,0
1,stage_arrival,21,S53,1,switch,40,11821949021847552,42,90,0,1,137.143,0,0,341.888,0
1,stage_arrival,11,S03,0,switch,6,6473924464345088,23,12,0,1,132.338,0,0,214.029,0
1,stage_arrival,23,S39,2,switch,50,13229323905400832,47,50,0,1,253.771,0,0,309.834,0
1,stage_arrival,44,S23,0,switch,43,25051272927248384,89,86,0,1,211.017,0,0,221.102,0
1,stage_arrival,3,S27,2,switch,49,1688849860263936,6,103,0,1,266.441,0,0,322.049,0
1,stage_arrival,49,S26,0,switch,43,27866022694354944,99,70,0,1,126.404,0,0,281.171,0
1,stage_arrival,25,S16,1,switch,20,14355223812243456,51,10,0,1,119.9,0,0,281.354,0
